algoritmo,tipo_caso,n,tiempo_medio,tiempo_mediana,tiempo_std,tiempo_min,tiempo_max,operaciones_moda,memoria_media
backtracking,mejor,22,3.097999870078638e-05,2.42000023717992e-05,1.1253310018916016e-05,2.249999670311809e-05,4.769999941345304e-05,441,7.6328125
backtracking,peor,4,1.9999999494757503e-05,2.02999945031479e-05,3.0074925616422797e-06,1.4999997802078724e-05,2.25000039790757e-05,24,0.9765625
backtracking,peor,5,1.886000100057572e-05,1.9099999917671084e-05,5.412954381475477e-07,1.799999881768599e-05,1.9400002202019092e-05,40,1.2421875
backtracking,peor,6,0.00010047999967350984,0.000100499994005,7.155423204130077e-07,9.940000018104912e-05,0.0001013000000966,384,1.6328125
backtracking,peor,7,0.0001915599990752,0.0001813000053516,2.347121439232672e-05,0.00017939999816,0.0002334999953745,740,1.6796875
backtracking,peor,8,0.0017875999998067799,0.0018189999973401,0.00013866102353590103,0.0016049000041675,0.0019290999989607,8160,1.8984375
backtracking,peor,9,0.0039767800015397,0.003852599998936,0.0004087201638609037,0.0036213999992469,0.004675700001826,18504,1.9140625
backtracking,peor,10,0.05224443999904902,0.0483135000031325,0.006947287192460013,0.0458451000013155,0.0619459000008646,251040,2.1484375
backtracking,peor,11,0.11620190000103317,0.1146882000030018,0.004399357572615665,0.1120590999998967,0.1211915999956545,659344,2.4390625
backtracking,peor,12,1.7939606399973855,1.735478399998101,0.13931808173911753,1.6955898999949568,2.036838200001512,10710840,3.803125
backtracking,promedio,4,1.0500001371838152e-05,1.049999991664663e-05,3.891015655248288e-06,5.900001269765198e-06,1.6500001947861165e-05,12,0.9484375
backtracking,promedio,5,8.11999780125916e-06,6.499998562503606e-06,2.5479383144934095e-06,5.900001269765198e-06,1.0899995686486363e-05,10,1.2984375
backtracking,promedio,6,3.6340000224299726e-05,3.190000279573724e-05,2.4933269768047527e-05,9.199997293762864e-06,7.599999662488699e-05,15,1.5703125
backtracking,promedio,7,3.424000315135345e-05,1.960000372491777e-05,3.6575305492315284e-05,9.500006854068488e-06,9.88000028883107e-05,64,1.7578125
backtracking,promedio,8,5.349999992175108e-05,2.2799998987466097e-05,6.668845481939297e-05,1.5600002370774746e-05,0.0001720000000204,75,1.8828125
backtracking,promedio,9,9.2739998945015e-05,1.049999991664663e-05,0.0001211845028637411,8.899995009414852e-06,0.0002758000046014,24,1.9734375
backtracking,promedio,10,0.00013651999906865884,4.369999805931002e-05,0.0001895176952762809,1.2299999070819467e-05,0.0004631999981938,40,2.1765625
backtracking,promedio,11,1.9320000137668104e-05,1.7800004570744932e-05,7.164982984217789e-06,1.080000220099464e-05,3.0499999411404133e-05,45,2.3234375
backtracking,promedio,12,9.60000004851926e-05,0.0001106999989133,7.809362784035963e-05,1.1500000255182384e-05,0.0001811999973142,66,2.4203125
backtracking,promedio,13,4.0639999497216195e-05,3.0499999411404133e-05,3.254586121979822e-05,1.189999602502212e-05,8.900000102585182e-05,85,2.6109375
backtracking,promedio,14,5.3419997857406463e-05,4.739999712910503e-05,3.966644770721919e-05,1.189999602502212e-05,0.0001192999989143,89,3.0234375
backtracking,promedio,15,2.626000059535727e-05,2.4300003133248534e-05,1.0182729580002022e-05,1.5199999324977398e-05,4.27999984822236e-05,121,2.9640625
backtracking,promedio,16,5.712000129277525e-05,2.6400004571769387e-05,7.342160669862623e-05,1.6199999663513154e-05,0.000188000005437,101,3.2890625
backtracking,promedio,17,5.377999914343776e-05,1.799999881768599e-05,6.177323268247827e-05,1.5599995094817132e-05,0.0001591000036569,119,3.7296875
backtracking,promedio,18,3.828000044450164e-05,3.330000618007034e-05,1.8346308867986414e-05,1.799999881768599e-05,6.650000432273373e-05,171,4.5546875
backtracking,promedio,19,9.709999721962147e-05,6.769999890821055e-05,9.228247324272864e-05,1.7799997294787318e-05,0.0002325999957975,157,5.4203125
backtracking,promedio,20,0.00011899999954038307,4.5900000259280205e-05,0.00017640297558042695,1.7300000763498247e-05,0.0004316999984439,179,5.6046875
backtracking,promedio,21,2.6100002287421376e-05,2.370000584051013e-05,7.761120502377588e-06,1.8799997633323077e-05,3.9200000173877925e-05,212,5.7890625
backtracking,promedio,22,4.456000024219888e-05,2.529999619582668e-05,3.882548132350681e-05,1.960000372491777e-05,0.0001126999995904,220,5.7828125
fuerza_bruta,mejor,4,1.1900000390596688e-05,7.90000194683671e-06,6.743516283983299e-06,6.499998562503606e-06,1.9800005247816443e-05,3,0.3125
